symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,diag_smt_block,diag_empty_data,diag_vol_floor,diag_gap,diag_no_obbr,diag_eq_fail,diag_no_bos,diag_disp_fail,diag_timebox,diag_choppy,diag_rr1,atr_open
SPXUSD,2023-01-03,2,bearish,S2_NY: BOS displacement,2023-01-03 14:52:00+00:00,3839.616,3868.616,3810.616,,,,,,,,,,,,,,
SPXUSD,2023-01-04,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,
NSXUSD,2023-01-05,2,bullish,S2_NY: BOS displacement,2023-01-05 14:51:00+00:00,10767.259,10758.487,10839.799,10960.077,,,,,,,,,,,,,
SPXUSD,2023-01-06,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,
SPXUSD,2023-01-09,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,
NSXUSD,2023-01-10,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,
SPXUSD,2023-01-11,2,bearish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SPXUSD,2023-01-12,2,bearish,S2_NY: BOS displacement,2023-01-12 15:43:00+00:00,3970.443,3974.946,3936.67,3933.62,,,,,,,,,,,,,
NSXUSD,2023-01-13,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,
NSXUSD,2023-01-16,2,bullish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SPXUSD,2023-01-17,2,bearish,S2_NY: BOS displacement,2023-01-17 14:55:00+00:00,4001.125,4004.628,3989.375,3982.113,,,,,,,,,,,,,
SPXUSD,2023-01-18,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,
