symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,diag_smt_block,diag_empty_data,diag_vol_floor,diag_gap,diag_no_obbr,diag_eq_fail,diag_no_bos,diag_disp_fail,diag_timebox,diag_choppy,diag_rr1,atr_open,pnl_R,exit_time_utc,exit_price,exit_reason
SPXUSD,2023-01-03,2,bearish,S2_NY: BOS displacement,2023-01-03 14:52:00+00:00,3839.616,3866.128,3813.104,,,,,,,,,,,,,,,0.5,2023-01-03 21:00:00+00:00,3839.616,timeout
SPXUSD,2023-01-04,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2023-01-05,2,bullish,S2_NY: BOS displacement,2023-01-05 14:51:00+00:00,10767.259,10758.749,10839.799,10948.079,,,,,,,,,,,,,,-1.0,2023-01-05 14:52:00+00:00,10758.749,stop_before_tp1
SPXUSD,2023-01-06,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2023-01-09,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2023-01-10,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2023-01-11,2,bearish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2023-01-12,2,bearish,S2_NY: BOS displacement,2023-01-12 15:43:00+00:00,3970.443,3973.426,3936.67,,,,,,,,,,,,,,,-1.0,2023-01-12 15:55:00+00:00,3973.426,stop_before_tp1
NSXUSD,2023-01-13,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2023-01-16,2,bullish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2023-01-17,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2023-01-18,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2023-01-19,2,bullish,S2_NY: BOS displacement,2023-01-19 16:08:00+00:00,11296.489,11289.319,11379.649,11406.059,11407.739,,,,,,,,,,,,,-1.0,2023-01-19 16:20:00+00:00,11289.319,stop_before_tp1
NSXUSD,2023-01-24,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2023-01-25,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
