symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,exit_price,R_multiple,hit_tp1,hit_tp2,hit_tp3,ts_tp1,ts_tp2,ts_tp3,be_triggered,ts_be
NSXUSD,2023-01-05,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-05 14:51:00+00:00,10767.259,10730.239,10839.799,10960.077,,tp1,10767.259,0.9797406807131283,1,0,0,2023-01-05 16:08:00+01:00,,,1,2023-01-05 16:08:00+01:00
NSXUSD,2023-01-10,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-10 14:53:00+00:00,11140.529,11064.729,11168.599,,,tp1,11168.599,0.3703166226912837,1,0,0,2023-01-10 16:12:00+01:00,,,0,
SPXUSD,2023-01-11,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-11 14:53:00+00:00,3936.738,3945.068,3931.446,3913.862,3913.04,tp1,3931.446,0.6352941176470196,1,0,0,2023-01-11 16:53:00+01:00,,,1,2023-01-11 16:53:00+01:00
SPXUSD,2023-02-08,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-08 14:58:00+00:00,4150.633,4149.07,4155.638,4163.625,4168.053,stop,4149.07,-1.0,0,0,0,,,,0,
NSXUSD,2023-02-17,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-17 14:42:00+00:00,12332.119,12323.769,12382.899,,,stop,12323.769,-1.0,0,0,0,,,,0,
NSXUSD,2023-02-22,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-02-22 15:29:00+00:00,12029.029,12051.209,12007.769,,,tp1,12007.769,0.9585211902614941,1,0,0,2023-02-22 16:32:00+01:00,,,0,
NSXUSD,2023-03-28,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-28 13:46:00+00:00,12641.789,12634.929,12672.999,12711.089,,stop,12634.929,-1.0,0,0,0,,,,0,
SPXUSD,2023-07-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-07-06 14:18:00+00:00,4409.157,4407.382,4425.127,4433.781,4445.657,stop,4407.382,-1.0,0,0,0,,,,0,
SPXUSD,2023-07-21,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-07-21 15:00:00+00:00,4541.021,4555.287,4526.754999999999,,,none,4548.186,-0.5022430954717297,0,0,0,,,,0,
SPXUSD,2023-08-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-08-15 13:56:00+00:00,4460.37,4458.623,4465.12,4499.562,4500.977,stop,4458.623,-1.0,0,0,0,,,,0,
