symbol,day,entry_ts,entry,sl,tp1,tp2,tp3,scenario,bias
SPXUSD,2023-01-05,2023-01-05T16:10:00+01:00,3821.679,3821.519,3821.8390000000004,3862.799,3852.265,1,bullish
SPXUSD,2023-01-19,2023-01-19T16:56:00+01:00,3889.919,3889.74,3890.098,3926.7,3929.772,1,bullish
SPXUSD,2023-01-23,2023-01-23T15:47:00+01:00,3982.366,3982.878,3981.854,3963.119,3964.81,1,bearish
SPXUSD,2023-01-24,2023-01-24T15:32:00+01:00,4000.046,3995.866,4004.2259999999997,4020.381,4023.875,1,bullish
SPXUSD,2023-01-25,2023-01-25T15:38:00+01:00,3970.266,3969.883,3970.6490000000003,4006.961,4005.726,1,bullish
SPXUSD,2023-02-06,2023-02-06T16:32:00+01:00,4095.281,4094.26,4096.302,4120.281,4130.775,1,bullish
SPXUSD,2023-02-07,2023-02-07T15:31:00+01:00,4099.571,4099.17,4099.972,4121.675,4124.308,1,bullish
SPXUSD,2023-02-08,2023-02-08T15:33:00+01:00,4142.49,4140.31,4144.669999999999,4163.625,4168.053,1,bullish
SPXUSD,2023-02-14,2023-02-14T15:42:00+01:00,4120.749,4120.583,4120.915,4175.733,4138.043,1,bullish
SPXUSD,2023-02-15,2023-02-15T15:55:00+01:00,4110.269,4106.218,4114.320000000001,4130.688,4128.495,1,bullish
SPXUSD,2023-02-16,2023-02-16T15:31:00+01:00,4097.808,4094.572,4101.044,4157.425,4156.805,1,bullish
SPXUSD,2023-02-17,2023-02-17T15:52:00+01:00,4055.026,4054.043,4056.0089999999996,4072.906,4083.826,1,bullish
SPXUSD,2023-02-21,2023-02-21T15:31:00+01:00,4041.027,4038.464,4043.59,4060.961,4068.527,1,bullish
SPXUSD,2023-03-07,2023-03-07T15:34:00+01:00,4047.55,4047.411,4047.6890000000003,4060.802,4059.829,1,bullish
SPXUSD,2023-03-31,2023-03-31T15:50:00+02:00,4058.753,4058.831,4058.675,4048.47,4048.236,3,bearish
SPXUSD,2023-04-10,2023-04-10T15:32:00+02:00,4080.879,4080.864,4080.894,4106.927,4112.132,1,bullish
SPXUSD,2023-04-14,2023-04-14T16:10:00+02:00,4138.582,4138.027,4139.137000000001,4147.82,4148.652,1,bullish
SPXUSD,2023-04-17,2023-04-17T16:03:00+02:00,4138.623,4138.111,4139.134999999999,4149.927,4147.677,1,bullish
SPXUSD,2023-05-11,2023-05-11T15:46:00+02:00,4132.919,4131.727,4134.111,4153.113,4148.977,1,bullish
SPXUSD,2023-05-24,2023-05-24T15:48:00+02:00,4129.072,4128.451,4129.693,4149.257,4154.027,1,bullish
SPXUSD,2023-05-29,2023-05-29T16:26:00+02:00,4212.714,4212.711,4212.717,4223.976,4229.527,1,bullish
SPXUSD,2023-05-31,2023-05-31T15:49:00+02:00,4185.997,4185.677,4186.317000000001,4198.999,4207.927,1,bullish
SPXUSD,2023-06-06,2023-06-06T16:47:00+02:00,4267.947,4267.391,4268.503000000001,4278.137,4277.956,3,bullish
SPXUSD,2023-06-15,2023-06-15T15:37:00+02:00,4351.373,4351.111,4351.634999999999,4371.132,4375.933,1,bullish
SPXUSD,2023-06-21,2023-06-21T15:31:00+02:00,4381.04,4379.381,4382.699,4392.812,4393.557,1,bullish
SPXUSD,2023-06-23,2023-06-23T15:33:00+02:00,4355.031,4354.517,4355.545,4370.867,4383.862,1,bullish
SPXUSD,2023-07-14,2023-07-14T15:53:00+02:00,4518.767,4518.832,4518.701999999999,4502.521,4500.594,1,bearish
SPXUSD,2023-07-26,2023-07-26T16:31:00+02:00,4561.96,4559.391,4564.529,4572.987,4578.149,1,bullish
SPXUSD,2023-08-01,2023-08-01T16:14:00+02:00,4573.219,4572.681,4573.7570000000005,4591.099,4596.654,1,bullish
SPXUSD,2023-08-03,2023-08-03T16:35:00+02:00,4488.553,4487.937,4489.169,4515.616,4524.657,1,bullish
SPXUSD,2023-08-04,2023-08-04T15:38:00+02:00,4499.957,4499.257,4500.657000000001,4526.207,4524.144,1,bullish
SPXUSD,2023-08-08,2023-08-08T16:54:00+02:00,4476.893,4476.581,4477.205,4509.797,4521.089,1,bullish
SPXUSD,2023-08-11,2023-08-11T15:31:00+02:00,4459.984,4459.623,4460.345000000001,4478.12,4479.221,1,bullish
SPXUSD,2023-08-15,2023-08-15T15:33:00+02:00,4457.002,4454.111,4459.893000000001,4499.562,4500.977,1,bullish
SPXUSD,2023-08-18,2023-08-18T15:41:00+02:00,4342.214,4341.704,4342.724,4374.409,4375.757,1,bullish
SPXUSD,2023-08-24,2023-08-24T15:37:00+02:00,4454.222,4451.741,4456.7029999999995,4473.647,4470.509,1,bullish
SPXUSD,2023-08-29,2023-08-29T15:34:00+02:00,4427.719,4427.451,4427.987,4445.253,4439.587,1,bullish
SPXUSD,2023-09-06,2023-09-06T16:35:00+02:00,4480.749,4480.557,4480.941,4494.801,4497.619,1,bullish
SPXUSD,2023-09-07,2023-09-07T16:42:00+02:00,4442.654,4442.464,4442.844000000001,4458.602,4465.464,1,bullish
SPXUSD,2023-09-12,2023-09-12T16:02:00+02:00,4472.06,4471.957,4472.1630000000005,4485.429,4485.622,1,bullish
SPXUSD,2023-09-13,2023-09-13T15:34:00+02:00,4455.076,4454.237,4455.915,4467.959,4464.616,1,bullish
SPXUSD,2023-09-14,2023-09-14T15:54:00+02:00,4486.551,4488.067,4485.035000000001,4470.697,4467.464,1,bearish
SPXUSD,2023-09-15,2023-09-15T15:32:00+02:00,4507.186,4506.404,4507.967999999999,4515.347,4516.381,3,bullish
SPXUSD,2023-09-21,2023-09-21T15:44:00+02:00,4365.054,4364.269,4365.839,4394.177,4401.547,1,bullish
SPXUSD,2023-09-25,2023-09-25T16:05:00+02:00,4304.123,4303.623,4304.623,4339.427,4332.977,1,bullish
SPXUSD,2023-09-28,2023-09-28T16:45:00+02:00,4264.867,4263.487,4266.247,4283.471,4286.501,1,bullish
SPXUSD,2023-10-02,2023-10-02T16:02:00+02:00,4277.873,4277.62,4278.125999999999,4319.882,4316.626,1,bullish
SPXUSD,2023-10-03,2023-10-03T15:40:00+02:00,4263.631,4262.763,4264.499000000001,4299.252,4292.142,1,bullish
SPXUSD,2023-10-17,2023-10-17T15:33:00+02:00,4356.776,4356.223,4357.329,4372.959,4376.799,1,bullish
