symbol,day,entry_ts,entry,sl,tp1,tp2,tp3,scenario,bias,tp1_hit,tp2_hit,tp3_hit,exit_reason,exit_ts,pnl_R,pnl_money
SPXUSD,2023-01-05,2023-01-05T16:10:00+01:00,3821.679,3821.519,3821.84,3862.8,3852.26,1,bullish,False,False,False,stop,2023-01-05T16:10:00+01:00,-1.0,-1.0
SPXUSD,2023-01-19,2023-01-19T16:56:00+01:00,3889.919,3889.74,3890.1,3926.7,3929.77,1,bullish,False,False,False,stop,2023-01-19T16:56:00+01:00,-1.0,-1.0
SPXUSD,2023-01-23,2023-01-23T15:47:00+01:00,3982.366,3982.878,3981.85,3963.12,3964.81,1,bearish,False,False,False,stop,2023-01-23T15:47:00+01:00,-1.0,-1.0
SPXUSD,2023-01-24,2023-01-24T15:32:00+01:00,4000.046,3995.866,4004.23,4020.38,4023.88,1,bullish,False,False,False,stop,2023-01-24T15:35:00+01:00,-1.0,-1.0
SPXUSD,2023-01-25,2023-01-25T15:38:00+01:00,3970.266,3969.883,3970.65,4006.96,4005.73,1,bullish,True,False,False,break_even,2023-01-25T15:49:00+01:00,0.5,0.5
SPXUSD,2023-02-06,2023-02-06T16:32:00+01:00,4095.281,4094.26,4096.3,4120.28,4130.77,1,bullish,False,False,False,stop,2023-02-06T16:32:00+01:00,-1.0,-1.0
SPXUSD,2023-02-07,2023-02-07T15:31:00+01:00,4099.571,4099.17,4099.97,4121.68,4124.31,1,bullish,False,False,False,stop,2023-02-07T15:31:00+01:00,-1.0,-1.0
SPXUSD,2023-02-08,2023-02-08T15:33:00+01:00,4142.49,4140.31,4144.67,4163.62,4168.05,1,bullish,False,False,False,stop,2023-02-08T15:33:00+01:00,-1.0,-1.0
SPXUSD,2023-02-14,2023-02-14T15:42:00+01:00,4120.749,4120.583,4120.92,4175.73,4138.04,1,bullish,False,False,False,stop,2023-02-14T15:42:00+01:00,-1.0,-1.0
SPXUSD,2023-02-15,2023-02-15T15:55:00+01:00,4110.269,4106.218,4114.32,4130.69,4128.5,1,bullish,True,False,False,break_even,2023-02-15T16:07:00+01:00,0.5,0.5
SPXUSD,2023-02-16,2023-02-16T15:31:00+01:00,4097.808,4094.572,4101.04,4157.42,4156.8,1,bullish,False,False,False,stop,2023-02-16T15:35:00+01:00,-1.0,-1.0
SPXUSD,2023-02-17,2023-02-17T15:52:00+01:00,4055.026,4054.043,4056.01,4072.91,4083.83,1,bullish,False,False,False,stop,2023-02-17T15:52:00+01:00,-1.0,-1.0
SPXUSD,2023-02-21,2023-02-21T15:31:00+01:00,4041.027,4038.464,4043.59,4060.96,4068.53,1,bullish,False,False,False,stop,2023-02-21T15:31:00+01:00,-1.0,-1.0
SPXUSD,2023-03-07,2023-03-07T15:34:00+01:00,4047.55,4047.411,4047.69,4060.8,4059.83,1,bullish,False,False,False,stop,2023-03-07T15:34:00+01:00,-1.0,-1.0
SPXUSD,2023-03-31,2023-03-31T15:50:00+02:00,4058.753,4058.831,4058.68,4048.47,4048.24,3,bearish,False,False,False,stop,2023-03-31T15:50:00+02:00,-1.0,-1.0
SPXUSD,2023-04-10,2023-04-10T15:32:00+02:00,4080.879,4080.864,4080.89,4106.93,4112.13,1,bullish,False,False,False,stop,2023-04-10T15:32:00+02:00,-1.0,-1.0
SPXUSD,2023-04-14,2023-04-14T16:10:00+02:00,4138.582,4138.027,4139.14,4147.82,4148.65,1,bullish,True,False,False,break_even,2023-04-14T16:12:00+02:00,0.5,0.5
SPXUSD,2023-04-17,2023-04-17T16:03:00+02:00,4138.623,4138.111,4139.13,4149.93,4147.68,1,bullish,False,False,False,stop,2023-04-17T16:03:00+02:00,-1.0,-1.0
SPXUSD,2023-05-11,2023-05-11T15:46:00+02:00,4132.919,4131.727,4134.11,4153.11,4148.98,1,bullish,True,False,False,break_even,2023-05-11T15:56:00+02:00,0.5,0.5
SPXUSD,2023-05-24,2023-05-24T15:48:00+02:00,4129.072,4128.451,4129.69,4149.26,4154.03,1,bullish,False,False,False,stop,2023-05-24T15:48:00+02:00,-1.0,-1.0
SPXUSD,2023-05-29,2023-05-29T16:26:00+02:00,4212.714,4212.711,4212.72,4223.98,4229.53,1,bullish,True,False,False,break_even,2023-05-29T16:27:00+02:00,0.5,0.5
SPXUSD,2023-05-31,2023-05-31T15:49:00+02:00,4185.997,4185.677,4186.32,4199.0,4207.93,1,bullish,True,False,False,break_even,2023-05-31T15:50:00+02:00,0.5,0.5
SPXUSD,2023-06-06,2023-06-06T16:47:00+02:00,4267.947,4267.391,4268.5,4278.14,4277.96,3,bullish,False,False,False,stop,2023-06-06T16:47:00+02:00,-1.0,-1.0
SPXUSD,2023-06-15,2023-06-15T15:37:00+02:00,4351.373,4351.111,4351.63,4371.13,4375.93,1,bullish,False,False,False,stop,2023-06-15T15:37:00+02:00,-1.0,-1.0
SPXUSD,2023-06-21,2023-06-21T15:31:00+02:00,4381.04,4379.381,4382.7,4392.81,4393.56,1,bullish,False,False,False,stop,2023-06-21T15:31:00+02:00,-1.0,-1.0
SPXUSD,2023-06-23,2023-06-23T15:33:00+02:00,4355.031,4354.517,4355.54,4370.87,4383.86,1,bullish,False,False,False,stop,2023-06-23T15:33:00+02:00,-1.0,-1.0
SPXUSD,2023-07-14,2023-07-14T15:53:00+02:00,4518.767,4518.832,4518.7,4502.52,4500.59,1,bearish,False,False,False,stop,2023-07-14T15:53:00+02:00,-1.0,-1.0
SPXUSD,2023-07-26,2023-07-26T16:31:00+02:00,4561.96,4559.391,4564.53,4572.99,4578.15,1,bullish,False,False,False,stop,2023-07-26T16:33:00+02:00,-1.0,-1.0
SPXUSD,2023-08-01,2023-08-01T16:14:00+02:00,4573.219,4572.681,4573.76,4591.1,4596.65,1,bullish,True,False,False,break_even,2023-08-01T16:16:00+02:00,0.5,0.5
SPXUSD,2023-08-03,2023-08-03T16:35:00+02:00,4488.553,4487.937,4489.17,4515.62,4524.66,1,bullish,True,False,False,break_even,2023-08-03T16:41:00+02:00,0.5,0.5
SPXUSD,2023-08-04,2023-08-04T15:38:00+02:00,4499.957,4499.257,4500.66,4526.21,4524.14,1,bullish,False,False,False,stop,2023-08-04T15:38:00+02:00,-1.0,-1.0
SPXUSD,2023-08-08,2023-08-08T16:54:00+02:00,4476.893,4476.581,4477.2,4509.8,4521.09,1,bullish,False,False,False,stop,2023-08-08T16:54:00+02:00,-1.0,-1.0
SPXUSD,2023-08-11,2023-08-11T15:31:00+02:00,4459.984,4459.623,4460.35,4478.12,4479.22,1,bullish,False,False,False,stop,2023-08-11T15:31:00+02:00,-1.0,-1.0
SPXUSD,2023-08-15,2023-08-15T15:33:00+02:00,4457.002,4454.111,4459.89,4499.56,4500.98,1,bullish,True,False,False,break_even,2023-08-15T16:00:00+02:00,0.5,0.5
SPXUSD,2023-08-18,2023-08-18T15:41:00+02:00,4342.214,4341.704,4342.72,4374.41,4375.76,1,bullish,False,False,False,stop,2023-08-18T15:41:00+02:00,-1.0,-1.0
SPXUSD,2023-08-24,2023-08-24T15:37:00+02:00,4454.222,4451.741,4456.7,4473.65,4470.51,1,bullish,True,False,False,break_even,2023-08-24T15:52:00+02:00,0.5,0.5
SPXUSD,2023-08-29,2023-08-29T15:34:00+02:00,4427.719,4427.451,4427.99,4445.25,4439.59,1,bullish,False,False,False,stop,2023-08-29T15:34:00+02:00,-1.0,-1.0
SPXUSD,2023-09-06,2023-09-06T16:35:00+02:00,4480.749,4480.557,4480.94,4494.8,4497.62,1,bullish,False,False,False,stop,2023-09-06T16:35:00+02:00,-1.0,-1.0
