symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,exit_price,R_multiple
SPXUSD,2023-01-03,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-03 14:43:00+00:00,3873.866,3868.676,3849.863,3847.378,3820.11,stop,3868.676,1.0
SPXUSD,2023-01-04,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-04 15:00:00+00:00,3836.896,3846.016,3834.01,3828.791,3821.002,stop,3846.016,-1.0
SPXUSD,2023-01-05,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-05 14:50:00+00:00,3808.493,3802.008,3830.266,3862.799,,tp1,3808.493,1.6787201233615814
SPXUSD,2023-01-09,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-01-09 14:47:00+00:00,3921.15,3917.146,3907.595,3895.148,,stop,3917.146,1.0
SPXUSD,2023-01-10,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-10 15:06:00+00:00,3898.281,3891.876,3905.511,,,tp1,3905.511,1.128805620608947
SPXUSD,2023-01-11,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-01-11 14:53:00+00:00,3936.738,3945.068,3933.063,3913.862,3913.04,tp1,3933.063,0.4411764705881823
SPXUSD,2023-01-13,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-01-13 14:40:00+00:00,3953.07,3947.369,3956.512,3986.159,3987.966,stop,3947.369,-1.0
SPXUSD,2023-01-17,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-17 14:55:00+00:00,4001.125,3998.366,3989.375,3981.613,3981.11,stop,3998.366,1.0
SPXUSD,2023-01-23,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-23 15:14:00+00:00,3997.248,3993.881,3969.369,3963.119,,stop,3993.881,1.0
SPXUSD,2023-01-24,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-01-24 14:42:00+00:00,3999.116,3992.869,4003.622,4020.381,4023.875,tp1,4003.622,0.7213062269889501
SPXUSD,2023-01-25,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-25 14:40:00+00:00,3976.713,3966.449,3986.977,4006.961,,stop,3966.449,-1.0
SPXUSD,2023-01-26,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-26 14:47:00+00:00,4036.538,4052.306,4020.77,4018.378,4014.831,tp1,4020.77,1.0
SPXUSD,2023-01-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-01-27 15:00:00+00:00,4059.556,4067.291,4043.723,4042.191,,stop,4067.291,-1.0
SPXUSD,2023-02-01,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-01 14:44:00+00:00,4064.659,4067.536,4060.089,4057.468,,stop,4067.536,-1.0
SPXUSD,2023-02-02,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-02-02 14:51:00+00:00,4149.725,4158.716,4144.96,4129.04,4122.99,tp1,4144.96,0.5299744188633451
SPXUSD,2023-02-08,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-08 14:58:00+00:00,4150.633,4149.07,4155.638,4163.625,4168.053,stop,4149.07,-1.0
SPXUSD,2023-02-09,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-09 15:23:00+00:00,4146.385,4150.729,4140.266,4134.726,4122.208,tp1,4140.266,1.4086095764273767
SPXUSD,2023-02-13,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-02-13 14:42:00+00:00,4098.781,4100.278,4091.522,4080.133,4068.76,stop,4100.278,-1.0
SPXUSD,2023-02-16,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-02-16 15:05:00+00:00,4097.689,4094.818,4104.278,4157.425,,stop,4094.818,-1.0
