symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,R_multiple
SPXUSD,2023-01-04,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-01-04 15:00:00+00:00,3836.896,3846.016,3834.01,3828.791,3821.002,stop,0.1582236842105264
SPXUSD,2023-01-05,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-01-05 14:50:00+00:00,3808.493,3802.008,3830.266,3862.799,,tp1,1.6787201233615814
SPXUSD,2023-01-10,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-10 15:06:00+00:00,3898.281,3891.876,3905.511,,,tp1,0.5644028103044735
SPXUSD,2023-01-11,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-01-11 14:53:00+00:00,3936.738,3945.068,3931.446,3913.862,3913.04,tp1,0.3176470588235098
SPXUSD,2023-01-18,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-01-18 15:09:00+00:00,4009.972,4013.399,3993.122,3989.198,3977.509,stop,-1.0
SPXUSD,2023-01-24,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-01-24 14:42:00+00:00,3999.116,3992.869,4003.622,4020.381,4023.875,tp1,0.36065311349447504
SPXUSD,2023-01-25,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-01-25 14:40:00+00:00,3976.713,3966.449,3986.977,4006.961,,stop,-1.0
SPXUSD,2023-01-26,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-01-26 14:47:00+00:00,4036.538,4052.306,4020.77,4018.378,4014.831,tp1,0.5
SPXUSD,2023-01-27,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-01-27 15:00:00+00:00,4059.556,4067.291,4043.723,4042.191,,stop,-1.0
SPXUSD,2023-02-01,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-02-01 14:44:00+00:00,4064.659,4067.536,4060.089,4057.468,,stop,-1.0
SPXUSD,2023-02-02,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-02-02 14:51:00+00:00,4149.725,4158.716,4144.96,4129.04,4122.99,tp1,0.26498720943167253
SPXUSD,2023-02-08,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-08 14:58:00+00:00,4150.633,4149.07,4155.638,4163.625,4168.053,stop,-1.0
SPXUSD,2023-02-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-13 14:42:00+00:00,4098.781,4100.278,4091.522,4080.133,4068.76,stop,-1.0
SPXUSD,2023-02-16,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-02-16 15:05:00+00:00,4097.689,4094.818,4104.278,4157.425,,stop,-1.0
SPXUSD,2023-02-23,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-02-23 15:30:00+00:00,4013.673,4017.677,4010.831,4001.914,4001.664,tp1,0.35489510489502846
SPXUSD,2023-02-28,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-02-28 14:55:00+00:00,3978.696,3983.4,3969.39,3966.497,,stop,-1.0
SPXUSD,2023-03-01,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-01 14:51:00+00:00,3968.092,3970.774,3954.454,,,tp1,2.5425055928413482
SPXUSD,2023-03-06,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-06 14:57:00+00:00,4057.917,4061.802,4050.914,4041.537,4038.661,stop,-1.0
SPXUSD,2023-03-10,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-10 15:11:00+00:00,3898.147,3908.116,3893.054,3886.677,3882.394,tp1,0.2554418697963598
SPXUSD,2023-03-14,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-03-14 15:41:00+00:00,3934.133,3936.093,3925.42,3861.357,3855.044,tp1,2.222704081632545
SPXUSD,2023-03-15,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-03-15 14:45:00+00:00,3849.117,3844.361,3872.177,3923.571,3929.697,stop,-1.0
SPXUSD,2023-03-17,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-17 14:47:00+00:00,3915.629,3910.614,3928.611,3975.632,,stop,-1.0
SPXUSD,2023-03-22,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-03-22 15:27:00+00:00,4003.333,4005.577,3995.37,3989.111,,stop,-1.0
SPXUSD,2023-03-28,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-03-28 13:50:00+00:00,3969.544,3967.334,3978.676,3992.519,,stop,-1.0
SPXUSD,2023-04-05,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-04-05 13:55:00+00:00,4091.396,4090.376,4099.379,4102.537,4106.21,stop,-1.0
SPXUSD,2023-04-10,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-04-10 13:53:00+00:00,4081.376,4081.37,4082.882,4106.927,4112.132,stop,-1.0
SPXUSD,2023-04-14,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-04-14 14:22:00+00:00,4140.811,4137.39,4147.82,,,tp1,1.0244080678166196
SPXUSD,2023-04-18,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-18 14:15:00+00:00,4166.963,4169.997,4163.928999999999,4150.753,4147.581,tp1,0.5
SPXUSD,2023-04-20,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-04-20 14:21:00+00:00,4124.441,4122.661,4126.221,4145.507,4148.716,stop,-1.0
SPXUSD,2023-04-24,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-04-24 14:13:00+00:00,4133.723,4134.229,4132.467,4110.97,,tp1,1.2411067193671308
SPXUSD,2023-04-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-04-27 14:17:00+00:00,4078.001,4080.8,4077.511,4067.241,4060.96,tp1,0.0875312611647446
SPXUSD,2023-05-17,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-05-17 14:16:00+00:00,4127.331,4127.622,4126.083,4108.554,,stop,-1.0
SPXUSD,2023-05-23,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-23 13:43:00+00:00,4185.012,4182.032,4187.991999999999,4199.069,4209.919,stop,-1.0
SPXUSD,2023-05-25,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-05-25 14:10:00+00:00,4152.367,4155.62,4151.643,4124.531,4121.11,tp1,0.11128189363667791
SPXUSD,2023-05-29,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-05-29 14:10:00+00:00,4214.726,4213.729,4215.732,4223.976,4229.527,stop,-1.0
SPXUSD,2023-05-30,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-05-30 13:41:00+00:00,4229.226,4230.527,4226.711,4213.726,4212.217,tp1,0.9665641813984137
SPXUSD,2023-05-31,2,bullish,S2_NY: 5m retrace + 1m BOS,2023-05-31 13:49:00+00:00,4186.449,4186.442,4188.237,4198.999,4207.927,stop,-1.0
SPXUSD,2023-06-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-06 14:12:00+00:00,4272.293,4270.774,4276.352,4278.137,,stop,-1.0
SPXUSD,2023-06-08,1,bearish,S1_NY: 5m retrace + 1m BOS,2023-06-08 13:52:00+00:00,4270.046,4271.286,4262.771,4258.781,4256.737,stop,-1.0
SPXUSD,2023-06-14,2,bearish,S2_NY: 5m retrace + 1m BOS,2023-06-14 13:40:00+00:00,4373.617,4376.511,4372.222,4365.701,4364.521,tp1,0.2410158949551355
SPXUSD,2023-06-15,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-15 13:41:00+00:00,4348.873,4346.373,4357.927,4371.117,4375.933,tp1,6.741200000000116
SPXUSD,2023-06-21,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-21 13:55:00+00:00,4378.582,4376.607,4382.264,4392.812,4393.557,stop,-1.0
SPXUSD,2023-06-26,1,bullish,S1_NY: 5m retrace + 1m BOS,2023-06-26 14:12:00+00:00,4344.114,4342.87,4347.677,4355.117,4361.382,stop,-1.0
SPXUSD,2023-07-06,3,bullish,S3_NY: 5m retrace + 1m BOS,2023-07-06 14:18:00+00:00,4409.157,4407.382,4411.082,4433.781,4445.657,stop,-1.0
SPXUSD,2023-07-12,3,bearish,S3_NY: 5m retrace + 1m BOS,2023-07-12 14:20:00+00:00,4477.422,4478.652,4471.229,4440.071,4435.497,stop,-1.0
