day,symbol,scenario,bias,entry_time_utc,pnl_R,events
2023-01-03,NSXUSD,1,bearish,2023-01-03 15:30:00+00:00,0.0,
2023-01-03,SPXUSD,2,bearish,2023-01-03 14:52:00+00:00,1.0,TP1@2023-01-03 16:14:00+00:00 | TP1@2023-01-03 16:15:00+00:00
2023-01-05,NSXUSD,2,bullish,2023-01-05 14:51:00+00:00,0.0,STOP@2023-01-05 14:51:00+00:00
2023-01-06,SPXUSD,2,bearish,2023-01-06 15:04:00+00:00,0.0,STOP@2023-01-06 15:04:00+00:00
2023-01-09,SPXUSD,2,bearish,2023-01-09 20:47:00+00:00,0.0,
2023-01-18,NSXUSD,1,bearish,2023-01-18 16:06:00+00:00,0.5,TP1@2023-01-18 20:59:00+00:00
2023-01-18,SPXUSD,2,bearish,2023-01-18 16:43:00+00:00,0.0,
2023-01-19,NSXUSD,2,bullish,2023-01-19 14:57:00+00:00,0.0,STOP@2023-01-19 14:57:00+00:00
2023-01-31,NSXUSD,1,bearish,2023-01-31 14:59:00+00:00,0.0,STOP@2023-01-31 15:06:00+00:00
2023-02-02,SPXUSD,1,bullish,2023-02-02 14:47:00+00:00,0.0,STOP@2023-02-02 14:47:00+00:00
2023-02-21,NSXUSD,1,bearish,2023-02-21 16:05:00+00:00,1.0,TP1@2023-02-21 20:16:00+00:00 | TP1@2023-02-21 20:17:00+00:00
2023-02-27,SPXUSD,2,bearish,2023-02-27 16:01:00+00:00,0.2373592825796881,TP1@2023-02-27 16:12:00+00:00 | TP1@2023-02-27 16:13:00+00:00
2023-02-28,NSXUSD,1,bearish,2023-02-28 17:14:00+00:00,0.0,STOP@2023-02-28 17:14:00+00:00
2023-03-14,SPXUSD,2,bearish,2023-03-14 16:22:00+00:00,5.108992496002021,TP1@2023-03-14 19:09:00+00:00 | TP1@2023-03-14 19:10:00+00:00
2023-03-17,SPXUSD,1,bullish,2023-03-17 16:30:00+00:00,0.01770485724877673,TP1@2023-03-17 16:31:00+00:00 | TP1@2023-03-17 16:32:00+00:00
2023-03-21,SPXUSD,1,bullish,2023-03-21 16:26:00+00:00,0.8000719812848152,TP1@2023-03-21 17:30:00+00:00 | TP1@2023-03-21 17:31:00+00:00
2023-03-22,SPXUSD,2,bearish,2023-03-22 16:40:00+00:00,0.0,STOP@2023-03-22 18:00:00+00:00
2023-03-23,NSXUSD,1,bearish,2023-03-23 18:39:00+00:00,0.0,
2023-03-23,SPXUSD,2,bearish,2023-03-23 19:20:00+00:00,0.0,
2023-03-24,NSXUSD,2,bullish,2023-03-24 20:02:00+00:00,0.0,
2023-03-30,SPXUSD,2,bearish,2023-03-30 14:20:00+00:00,0.0,STOP@2023-03-30 14:20:00+00:00
2023-04-03,NSXUSD,2,bullish,2023-04-03 13:54:00+00:00,1.0,TP1@2023-04-03 13:57:00+00:00 | TP1@2023-04-03 13:58:00+00:00
2023-04-10,NSXUSD,2,bullish,2023-04-10 14:14:00+00:00,0.0,STOP@2023-04-10 14:14:00+00:00
2023-04-12,SPXUSD,2,bearish,2023-04-12 14:22:00+00:00,0.0,STOP@2023-04-12 14:22:00+00:00
2023-04-14,SPXUSD,1,bullish,2023-04-14 14:17:00+00:00,0.0,STOP@2023-04-14 14:17:00+00:00
2023-04-17,SPXUSD,1,bullish,2023-04-17 14:19:00+00:00,0.0,STOP@2023-04-17 14:19:00+00:00
2023-04-18,SPXUSD,2,bearish,2023-04-18 14:30:00+00:00,0.0,STOP@2023-04-18 14:30:00+00:00
2023-04-19,NSXUSD,2,bullish,2023-04-19 14:35:00+00:00,0.0,STOP@2023-04-19 14:54:00+00:00
2023-04-24,NSXUSD,1,bearish,2023-04-24 14:16:00+00:00,0.0,STOP@2023-04-24 14:16:00+00:00
2023-04-24,SPXUSD,2,bearish,2023-04-24 14:14:00+00:00,0.0,STOP@2023-04-24 14:14:00+00:00
2023-05-05,NSXUSD,1,bearish,2023-05-05 13:55:00+00:00,0.0,STOP@2023-05-05 13:55:00+00:00
2023-05-08,NSXUSD,1,bullish,2023-05-08 14:21:00+00:00,0.0,STOP@2023-05-08 14:21:00+00:00
2023-05-25,SPXUSD,2,bearish,2023-05-25 14:14:00+00:00,0.0,STOP@2023-05-25 14:14:00+00:00
2023-05-30,SPXUSD,1,bullish,2023-05-30 15:06:00+00:00,0.0,STOP@2023-05-30 15:06:00+00:00
2023-05-30,SPXUSD,2,bearish,2023-05-30 13:44:00+00:00,0.0,STOP@2023-05-30 13:44:00+00:00
2023-06-15,SPXUSD,1,bullish,2023-06-15 13:50:00+00:00,1.0,TP1@2023-06-15 16:00:00+00:00 | TP1@2023-06-15 16:01:00+00:00
2023-06-16,NSXUSD,1,bearish,2023-06-16 14:31:00+00:00,0.0,STOP@2023-06-16 14:31:00+00:00
2023-06-16,SPXUSD,2,bearish,2023-06-16 20:00:00+00:00,0.0,
2023-06-21,SPXUSD,1,bullish,2023-06-21 13:45:00+00:00,0.0,STOP@2023-06-21 13:45:00+00:00
2023-06-23,SPXUSD,1,bullish,2023-06-23 16:43:00+00:00,0.0,STOP@2023-06-23 16:51:00+00:00
2023-06-23,NSXUSD,2,bullish,2023-06-23 17:25:00+00:00,0.38574766355142004,TP1@2023-06-23 17:33:00+00:00 | TP1@2023-06-23 17:42:00+00:00
2023-07-03,SPXUSD,1,bullish,2023-07-03 14:24:00+00:00,0.0,STOP@2023-07-03 14:24:00+00:00
2023-07-06,SPXUSD,1,bullish,2023-07-06 14:18:00+00:00,0.0,STOP@2023-07-06 14:18:00+00:00
2023-07-07,NSXUSD,2,bullish,2023-07-07 18:01:00+00:00,0.0,
2023-07-13,SPXUSD,2,bearish,2023-07-13 13:49:00+00:00,0.0,STOP@2023-07-13 13:49:00+00:00
2023-07-14,SPXUSD,1,bullish,2023-07-14 13:45:00+00:00,1.3059602649003097,TP1@2023-07-14 13:51:00+00:00 | TP1@2023-07-14 13:52:00+00:00
2023-07-19,NSXUSD,1,bearish,2023-07-19 13:47:00+00:00,0.0,STOP@2023-07-19 13:47:00+00:00
2023-07-19,SPXUSD,2,bearish,2023-07-19 18:08:00+00:00,0.0,STOP@2023-07-19 18:08:00+00:00
2023-07-21,SPXUSD,2,bearish,2023-07-21 15:00:00+00:00,0.0,STOP@2023-07-21 19:00:00+00:00
2023-07-24,SPXUSD,2,bearish,2023-07-24 14:24:00+00:00,0.0,STOP@2023-07-24 14:24:00+00:00
2023-07-27,SPXUSD,2,bearish,2023-07-27 13:54:00+00:00,1.288187764524721,TP1@2023-07-27 15:08:00+00:00 | TP1@2023-07-27 15:09:00+00:00
2023-08-01,SPXUSD,1,bullish,2023-08-01 14:29:00+00:00,1.0,TP1@2023-08-01 14:35:00+00:00 | TP1@2023-08-01 14:36:00+00:00
2023-08-10,NSXUSD,1,bearish,2023-08-10 16:45:00+00:00,0.3499886954555667,TP1@2023-08-10 16:50:00+00:00 | TP1@2023-08-10 16:51:00+00:00
2023-08-10,SPXUSD,2,bearish,2023-08-10 17:26:00+00:00,0.0,
2023-08-17,NSXUSD,1,bearish,2023-08-17 13:50:00+00:00,0.0,STOP@2023-08-17 13:50:00+00:00
2023-08-17,SPXUSD,2,bearish,2023-08-17 14:02:00+00:00,0.0,STOP@2023-08-17 14:02:00+00:00
2023-08-23,SPXUSD,1,bullish,2023-08-23 14:28:00+00:00,2.1910464784713612,TP1@2023-08-23 14:45:00+00:00 | TP1@2023-08-23 14:47:00+00:00
2023-08-24,SPXUSD,1,bullish,2023-08-24 13:45:00+00:00,0.0,STOP@2023-08-24 13:45:00+00:00
2023-08-25,NSXUSD,1,bearish,2023-08-25 13:50:00+00:00,0.0,STOP@2023-08-25 13:50:00+00:00
2023-08-25,SPXUSD,2,bearish,2023-08-25 13:50:00+00:00,0.0,STOP@2023-08-25 13:50:00+00:00
2023-08-28,SPXUSD,2,bearish,2023-08-28 16:07:00+00:00,0.0,STOP@2023-08-28 16:27:00+00:00
2023-09-01,SPXUSD,2,bearish,2023-09-01 14:36:00+00:00,1.7045271899274248,TP1@2023-09-01 14:40:00+00:00 | TP1@2023-09-01 14:41:00+00:00
2023-09-06,SPXUSD,1,bullish,2023-09-06 13:46:00+00:00,0.0,STOP@2023-09-06 13:46:00+00:00
2023-09-06,NSXUSD,2,bullish,2023-09-06 13:53:00+00:00,0.0,STOP@2023-09-06 14:13:00+00:00
2023-09-07,SPXUSD,1,bullish,2023-09-07 14:35:00+00:00,0.0,STOP@2023-09-07 14:35:00+00:00
2023-09-14,SPXUSD,1,bullish,2023-09-14 13:51:00+00:00,0.0,STOP@2023-09-14 13:51:00+00:00
2023-09-14,SPXUSD,1,bullish,2023-09-14 13:51:00+00:00,0.0,STOP@2023-09-14 13:51:00+00:00
2023-09-20,NSXUSD,1,bearish,2023-09-20 16:19:00+00:00,0.0,
2023-09-27,NSXUSD,1,bearish,2023-09-27 13:49:00+00:00,0.0,STOP@2023-09-27 13:49:00+00:00
2023-09-27,SPXUSD,2,bearish,2023-09-27 15:52:00+00:00,1.0,TP1@2023-09-27 18:18:00+00:00 | TP1@2023-09-27 18:20:00+00:00
2023-09-28,SPXUSD,1,bullish,2023-09-28 14:55:00+00:00,0.0,STOP@2023-09-28 15:18:00+00:00
2023-09-29,NSXUSD,1,bearish,2023-09-29 14:06:00+00:00,0.0,STOP@2023-09-29 14:06:00+00:00
2023-09-29,SPXUSD,2,bearish,2023-09-29 14:06:00+00:00,0.0,STOP@2023-09-29 14:10:00+00:00
2023-10-03,SPXUSD,1,bullish,2023-10-03 14:05:00+00:00,0.0,STOP@2023-10-03 14:05:00+00:00
2023-10-04,NSXUSD,1,bearish,2023-10-04 13:59:00+00:00,2.4857142857147987,TP1@2023-10-04 14:21:00+00:00 | TP1@2023-10-04 14:25:00+00:00
2023-10-04,SPXUSD,2,bearish,2023-10-04 13:54:00+00:00,0.0,STOP@2023-10-04 13:54:00+00:00
2023-10-09,NSXUSD,2,bullish,2023-10-09 13:54:00+00:00,0.9728579031400519,TP1@2023-10-09 14:00:00+00:00 | TP1@2023-10-09 14:01:00+00:00
2023-10-11,NSXUSD,1,bearish,2023-10-11 17:15:00+00:00,0.13915364086922216,TP1@2023-10-11 17:17:00+00:00 | TP1@2023-10-11 17:18:00+00:00
2023-10-17,SPXUSD,1,bullish,2023-10-17 15:11:00+00:00,0.0,STOP@2023-10-17 15:11:00+00:00
2023-10-18,SPXUSD,1,bullish,2023-10-18 14:05:00+00:00,0.0,STOP@2023-10-18 14:05:00+00:00
2023-10-18,NSXUSD,2,bullish,2023-10-18 14:05:00+00:00,0.0,STOP@2023-10-18 14:05:00+00:00
2023-10-19,SPXUSD,2,bearish,2023-10-19 15:29:00+00:00,0.29150807192546196,TP1@2023-10-19 15:32:00+00:00 | TP1@2023-10-19 15:33:00+00:00
2023-10-25,SPXUSD,1,bullish,2023-10-25 13:46:00+00:00,0.0,STOP@2023-10-25 13:46:00+00:00
2023-10-27,SPXUSD,1,bullish,2023-10-27 13:44:00+00:00,0.0,STOP@2023-10-27 13:44:00+00:00
2023-10-27,NSXUSD,1,bearish,2023-10-27 18:55:00+00:00,0.0,
2023-11-01,SPXUSD,2,bearish,2023-11-01 15:12:00+00:00,1.0,TP1@2023-11-01 16:17:00+00:00 | TP1@2023-11-01 16:18:00+00:00
2023-11-17,NSXUSD,2,bullish,2023-11-17 17:02:00+00:00,0.9929055143501722,TP1@2023-11-17 18:15:00+00:00 | TP1@2023-11-17 18:16:00+00:00
2023-11-20,NSXUSD,1,bearish,2023-11-20 14:45:00+00:00,0.0,STOP@2023-11-20 14:45:00+00:00
2023-11-22,SPXUSD,2,bearish,2023-11-22 14:51:00+00:00,1.8376753507015449,TP1@2023-11-22 14:53:00+00:00 | TP1@2023-11-22 14:54:00+00:00
2023-11-28,SPXUSD,1,bullish,2023-11-28 16:30:00+00:00,0.0,STOP@2023-11-28 18:02:00+00:00
2023-11-28,SPXUSD,2,bullish,2023-11-28 16:30:00+00:00,0.0,STOP@2023-11-28 18:02:00+00:00
2023-11-29,SPXUSD,2,bearish,2023-11-29 15:02:00+00:00,0.0,STOP@2023-11-29 15:02:00+00:00
2023-12-07,NSXUSD,1,bearish,2023-12-07 14:47:00+00:00,0.5975143403441662,TP1@2023-12-07 14:49:00+00:00 | TP1@2023-12-07 14:50:00+00:00
2023-12-12,SPXUSD,1,bullish,2023-12-12 15:58:00+00:00,0.0,
2023-12-12,NSXUSD,2,bullish,2023-12-12 19:35:00+00:00,0.05683820120538805,TP1@2023-12-12 19:46:00+00:00 | TP1@2023-12-12 19:47:00+00:00
2023-12-13,SPXUSD,1,bullish,2023-12-13 15:10:00+00:00,0.0,STOP@2023-12-13 15:10:00+00:00
2023-12-14,SPXUSD,2,bearish,2023-12-14 15:02:00+00:00,0.0,STOP@2023-12-14 15:02:00+00:00
2024-01-02,SPXUSD,1,bullish,2024-01-02 14:59:00+00:00,0.0,STOP@2024-01-02 14:59:00+00:00
2024-01-16,SPXUSD,1,bullish,2024-01-16 15:00:00+00:00,0.0,STOP@2024-01-16 15:00:00+00:00
2024-01-17,SPXUSD,1,bullish,2024-01-17 14:49:00+00:00,0.0,STOP@2024-01-17 14:49:00+00:00
2024-01-24,SPXUSD,2,bearish,2024-01-24 20:53:00+00:00,0.0,
2024-01-26,SPXUSD,2,bearish,2024-01-26 14:51:00+00:00,0.0,STOP@2024-01-26 14:59:00+00:00
2024-01-29,SPXUSD,2,bearish,2024-01-29 14:44:00+00:00,0.0,STOP@2024-01-29 14:44:00+00:00
2024-01-31,SPXUSD,1,bullish,2024-01-31 14:49:00+00:00,0.0,STOP@2024-01-31 14:49:00+00:00
2024-02-16,SPXUSD,1,bullish,2024-02-16 15:47:00+00:00,0.0,STOP@2024-02-16 15:47:00+00:00
2024-02-20,SPXUSD,1,bullish,2024-02-20 14:55:00+00:00,0.0,STOP@2024-02-20 14:55:00+00:00
2024-02-23,SPXUSD,2,bearish,2024-02-23 15:50:00+00:00,1.0,TP1@2024-02-23 16:04:00+00:00 | TP1@2024-02-23 16:05:00+00:00
2024-03-06,SPXUSD,1,bullish,2024-03-06 15:58:00+00:00,0.851806863042993,TP1@2024-03-06 16:01:00+00:00 | TP1@2024-03-06 16:02:00+00:00
2024-03-06,SPXUSD,1,bullish,2024-03-06 15:58:00+00:00,0.851806863042993,TP1@2024-03-06 16:01:00+00:00 | TP1@2024-03-06 16:02:00+00:00
2024-03-08,SPXUSD,2,bearish,2024-03-08 17:50:00+00:00,0.0,
2024-03-22,SPXUSD,1,bullish,2024-03-22 15:10:00+00:00,0.0,STOP@2024-03-22 15:10:00+00:00
2024-04-02,SPXUSD,1,bullish,2024-04-02 13:44:00+00:00,0.0,STOP@2024-04-02 13:44:00+00:00
2024-04-03,SPXUSD,2,bearish,2024-04-03 13:49:00+00:00,0.5200534759356614,TP1@2024-04-03 13:50:00+00:00 | TP1@2024-04-03 13:51:00+00:00
2024-04-09,SPXUSD,2,bearish,2024-04-09 15:27:00+00:00,1.0,TP1@2024-04-09 15:30:00+00:00 | TP1@2024-04-09 15:31:00+00:00
2024-04-12,SPXUSD,1,bullish,2024-04-12 14:31:00+00:00,0.0,STOP@2024-04-12 14:31:00+00:00
2024-04-15,SPXUSD,2,bearish,2024-04-15 15:07:00+00:00,0.0,STOP@2024-04-15 15:07:00+00:00
2024-04-16,SPXUSD,2,bearish,2024-04-16 13:56:00+00:00,0.0,STOP@2024-04-16 13:56:00+00:00
2024-04-17,SPXUSD,1,bullish,2024-04-17 13:46:00+00:00,0.0,STOP@2024-04-17 13:46:00+00:00
