symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,pnl_R,exit_time_utc,exit_price,exit_reason
SPXUSD,2023-01-03,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-01-03 14:39:00+00:00,3867.863,3868.113,3849.863,3849.613,3820.986,-1.0,2023-01-03 14:40:00+00:00,3868.113,stop_before_tp1
NSXUSD,2023-01-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-01-05 14:39:00+00:00,10772.089,10771.839,10839.799,10958.909,,-1.0,2023-01-05 14:40:00+00:00,10771.839,stop_before_tp1
SPXUSD,2023-01-17,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-01-17 14:44:00+00:00,3996.622,3998.869,3989.375,3982.113,,-1.0,2023-01-17 14:45:00+00:00,3998.869,stop_before_tp1
SPXUSD,2023-01-19,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-01-19 14:39:00+00:00,3913.929,3895.925,11376.569,,,-1.0,2023-01-19 15:36:00+00:00,3895.925,stop_before_tp1
NSXUSD,2023-01-25,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-01-25 14:39:00+00:00,11638.489,11638.239,11651.619,11792.209,,-1.0,2023-01-25 14:40:00+00:00,11638.239,stop_before_tp1
SPXUSD,2023-01-26,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-01-26 14:39:00+00:00,4048.832,4049.082,4040.933,4019.296,4015.673,-1.0,2023-01-26 14:40:00+00:00,4049.082,stop_before_tp1
SPXUSD,2023-01-27,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-01-27 14:39:00+00:00,4052.559,4052.809,4043.743,4042.669,,-1.0,2023-01-27 14:40:00+00:00,4052.809,stop_before_tp1
SPXUSD,2023-01-30,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-01-30 14:39:00+00:00,4049.775,4031.151,12053.669,,,-1.0,2023-01-30 18:00:00+00:00,4031.151,stop_before_tp1
NSXUSD,2023-02-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-02-08 14:39:00+00:00,12686.689,12673.879,12688.699,12733.529,12755.769,0.07845,2023-02-08 14:41:00+00:00,12686.689,breakeven_after_tp1
SPXUSD,2023-02-13,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-02-13 14:39:00+00:00,4100.076,4100.326,4091.522,4081.38,4069.766,-1.0,2023-02-13 14:40:00+00:00,4100.326,stop_before_tp1
NSXUSD,2023-02-14,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-02-14 14:39:00+00:00,12441.017,12438.877,12443.157,12571.329,,-1.0,2023-02-14 14:40:00+00:00,12438.877,stop_before_tp1
SPXUSD,2023-03-06,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-03-06 14:39:00+00:00,4057.673,4057.923,4050.914,4042.299,4039.173,-1.0,2023-03-06 14:40:00+00:00,4057.923,stop_before_tp1
SPXUSD,2023-03-09,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-03-09 14:44:00+00:00,4005.077,4005.327,3995.629,3976.251,,-1.0,2023-03-09 14:45:00+00:00,4005.327,stop_before_tp1
NSXUSD,2023-03-20,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-03-20 14:44:00+00:00,12474.119,12397.029,12557.079,,12592.839,0.53807,2023-03-20 20:14:00+00:00,12474.119,timeout
SPXUSD,2023-03-21,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-03-21 14:39:00+00:00,3981.361,3981.611,3974.873,3958.939,3949.381,-1.0,2023-03-21 14:40:00+00:00,3981.611,stop_before_tp1
SPXUSD,2023-03-23,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-03-23 14:39:00+00:00,3981.873,3982.123,3976.614,3950.876,3940.777,-1.0,2023-03-23 14:40:00+00:00,3982.123,stop_before_tp1
NSXUSD,2023-04-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-04-17 13:39:00+00:00,13087.089,13073.107,13093.109,13115.819,,-1.0,2023-04-17 13:44:00+00:00,13073.107,stop_before_tp1
NSXUSD,2023-04-20,2,bullish,S2_NY: retrace-allowed (bos_path),2023-04-20 13:46:00+00:00,12968.239,12960.349,12977.129,13037.039,13064.749,5.80133,2023-04-20 17:33:00+00:00,13065.719,all_tps_hit
NSXUSD,2023-04-21,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-04-21 13:39:00+00:00,12955.619,12947.509,12960.199,12994.339,13014.069,-1.0,2023-04-21 13:49:00+00:00,12947.509,stop_before_tp1
NSXUSD,2023-04-28,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-04-28 13:39:00+00:00,13122.409,13099.089,13137.489,,13150.319,0.62253,2023-04-28 14:36:00+00:00,13122.409,breakeven_after_tp1
NSXUSD,2023-05-19,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-05-19 13:44:00+00:00,13848.209,13836.777,13851.097,13872.039,13904.989,0.12631,2023-05-19 16:00:00+00:00,13848.209,breakeven_after_tp1
SPXUSD,2023-05-30,2,bearish,S2_NY: retrace-allowed (bos_path),2023-05-30 13:41:00+00:00,4229.226,4230.464,4226.711,4214.717,4212.732,1.01575,2023-05-30 13:56:00+00:00,4229.226,breakeven_after_tp1
SPXUSD,2023-06-13,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-06-13 13:39:00+00:00,4348.834,4352.082,4334.557,,,-1.0,2023-06-13 13:42:00+00:00,4352.082,stop_before_tp1
SPXUSD,2023-06-15,1,bullish,S1_NY: BOS-path only,2023-06-15 13:50:00+00:00,4357.177,4346.376,4367.977999999999,4369.249,4375.137,1.19512,2023-06-15 16:01:00+00:00,4394.334,all_tps_hit
NSXUSD,2023-06-23,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-06-23 13:44:00+00:00,14875.749,14875.499,14953.307,14991.399,15052.849,-1.0,2023-06-23 13:45:00+00:00,14875.499,stop_before_tp1
SPXUSD,2023-06-29,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-06-29 13:39:00+00:00,4389.719,4392.073,4386.389,4375.329,,2.23556,2023-06-29 17:00:00+00:00,4389.719,breakeven_after_tp1
SPXUSD,2023-07-13,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-07-13 13:39:00+00:00,4487.353,4489.209,4483.64,4480.442,4477.021,-1.0,2023-07-13 13:42:00+00:00,4489.209,stop_before_tp1
SPXUSD,2023-07-27,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-07-27 13:39:00+00:00,4605.46,4605.71,4597.406,4580.207,4566.883,-1.0,2023-07-27 13:40:00+00:00,4605.71,stop_before_tp1
SPXUSD,2023-08-02,1,bullish,S1_NY: BOS-path only,2023-08-02 13:50:00+00:00,4550.462,4547.027,4560.082,,4569.487,-1.0,2023-08-02 14:01:00+00:00,4547.027,stop_before_tp1
NSXUSD,2023-08-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-02 13:44:00+00:00,15569.119,15516.269,15620.839,,15689.969,-1.0,2023-08-02 14:35:00+00:00,15516.269,stop_before_tp1
NSXUSD,2023-08-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-03 13:39:00+00:00,15303.599,15280.839,15317.489,15372.879,15411.899,-1.0,2023-08-03 13:58:00+00:00,15280.839,stop_before_tp1
NSXUSD,2023-08-04,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-04 13:44:00+00:00,15386.879,15351.649,15414.899,15468.309,,0.97552,2023-08-04 14:51:00+00:00,15386.879,breakeven_after_tp1
SPXUSD,2023-08-07,2,bearish,S2_NY: retrace-allowed (bos_path),2023-08-07 13:44:00+00:00,4493.12,4493.37,4485.611,,4481.734,-1.0,2023-08-07 13:45:00+00:00,4493.37,stop_before_tp1
NSXUSD,2023-08-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-08 13:39:00+00:00,15293.509,15279.899,15293.689,15356.139,15413.389,0.00661,2023-08-08 13:41:00+00:00,15293.509,breakeven_after_tp1
NSXUSD,2023-08-11,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-11 13:39:00+00:00,15052.219,15051.969,15119.909,15167.389,15190.569,-1.0,2023-08-11 13:40:00+00:00,15051.969,stop_before_tp1
NSXUSD,2023-08-15,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-15 13:39:00+00:00,15106.329,15101.099,15134.599,15247.519,15257.789,2.70268,2023-08-15 15:00:00+00:00,15106.329,breakeven_after_tp1
SPXUSD,2023-08-16,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-08-16 13:39:00+00:00,4436.392,4436.642,4432.406,,,7.972,2023-08-16 14:36:00+00:00,4436.392,breakeven_after_tp1
NSXUSD,2023-08-18,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-18 13:39:00+00:00,14582.999,14571.339,14586.509,14711.209,14725.839,0.15051,2023-08-18 13:41:00+00:00,14582.999,breakeven_after_tp1
SPXUSD,2023-08-28,2,bearish,S2_NY: retrace-allowed (bos_path),2023-08-28 13:47:00+00:00,4423.676,4424.923,4422.667,4408.182,4406.161,0.40457,2023-08-28 13:52:00+00:00,4423.676,breakeven_after_tp1
SPXUSD,2023-08-29,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-08-29 13:39:00+00:00,4427.979,4427.701,15024.059,,,-1.0,2023-08-29 13:40:00+00:00,4427.701,stop_before_tp1
NSXUSD,2023-09-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-05 13:44:00+00:00,15441.699,15423.079,15463.989,15471.809,15503.369,1.00282,2023-09-05 14:09:00+00:00,15441.699,breakeven_after_tp1
NSXUSD,2023-09-07,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-07 13:44:00+00:00,15190.559,15190.309,15245.899,15326.689,15372.189,-1.0,2023-09-07 13:45:00+00:00,15190.309,stop_before_tp1
NSXUSD,2023-09-13,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-13 13:39:00+00:00,15260.889,15260.639,15313.309,15317.589,,-1.0,2023-09-13 13:40:00+00:00,15260.639,stop_before_tp1
SPXUSD,2023-09-14,1,bullish,S1_NY: BOS-path only,2023-09-14 13:39:00+00:00,4480.149,4479.899,4485.852,4486.289,,-1.0,2023-09-14 13:40:00+00:00,4479.899,stop_before_tp1
NSXUSD,2023-09-15,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-15 13:44:00+00:00,15432.139,15431.889,15472.989,15511.559,15518.559,-1.0,2023-09-15 13:45:00+00:00,15431.889,stop_before_tp1
NSXUSD,2023-09-21,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-21 13:39:00+00:00,14773.029,14772.779,14800.799,14932.149,14968.609,-1.0,2023-09-21 13:40:00+00:00,14772.779,stop_before_tp1
NSXUSD,2023-09-25,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-25 13:39:00+00:00,14665.779,14638.969,14672.409,14777.749,,0.12365,2023-09-25 13:47:00+00:00,14665.779,breakeven_after_tp1
NSXUSD,2023-09-26,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-09-26 13:39:00+00:00,14688.649,14674.069,14726.709,,14781.569,-1.0,2023-09-26 13:58:00+00:00,14674.069,stop_before_tp1
SPXUSD,2023-09-27,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-09-27 13:39:00+00:00,4289.98,4290.23,4284.561,,4276.81,-1.0,2023-09-27 13:40:00+00:00,4290.23,stop_before_tp1
NSXUSD,2023-10-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-02 13:39:00+00:00,14719.919,14704.009,14735.829,14857.799,,-1.0,2023-10-02 13:53:00+00:00,14704.009,stop_before_tp1
NSXUSD,2023-10-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-03 13:44:00+00:00,14708.857,14708.607,14749.759,14874.279,,-1.0,2023-10-03 13:45:00+00:00,14708.607,stop_before_tp1
SPXUSD,2023-10-04,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-04 13:39:00+00:00,4242.003,4242.253,4237.051,4201.397,,-1.0,2023-10-04 13:40:00+00:00,4242.253,stop_before_tp1
NSXUSD,2023-10-09,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-09 13:44:00+00:00,14839.549,14839.299,14880.669,14892.089,,-1.0,2023-10-09 13:45:00+00:00,14839.299,stop_before_tp1
SPXUSD,2023-10-10,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-10 13:39:00+00:00,4338.347,4338.597,4334.147,4333.56,,-1.0,2023-10-10 13:41:00+00:00,4338.597,stop_before_tp1
NSXUSD,2023-10-10,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-10 13:39:00+00:00,15055.379,15048.319,15060.889,15095.069,15095.599,-1.0,2023-10-10 13:41:00+00:00,15048.319,stop_before_tp1
NSXUSD,2023-10-11,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-11 13:39:00+00:00,15164.989,15190.119,4361.862,,,-1.0,2023-10-11 13:48:00+00:00,15190.119,stop_before_tp1
SPXUSD,2023-10-16,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-16 13:39:00+00:00,4348.02,4348.27,4338.511,4327.476,,-1.0,2023-10-16 13:40:00+00:00,4348.27,stop_before_tp1
NSXUSD,2023-10-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-17 13:44:00+00:00,15078.209,15077.959,15110.097,15175.329,15176.819,-1.0,2023-10-17 13:45:00+00:00,15077.959,stop_before_tp1
NSXUSD,2023-10-18,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-18 13:44:00+00:00,15023.539,15023.289,15054.819,15095.049,15115.799,-1.0,2023-10-18 13:45:00+00:00,15023.289,stop_before_tp1
